text,label
"Bonjour, à quelle heure ouvre la bibliothèque ?","neutre"
"Merci beaucoup pour votre aide !","satisfaction"
"C'est inadmissible, j'ai perdu mon stage à cause de votre retard !","frustration"
"C'est urgent, je dois avoir mes résultats aujourd'hui","urgent"
"Bonjour, j'aimerais avoir des informations sur la rentrée.","neutre"
"Salut, est-ce que le campus est ouvert demain ?","neutre"
"Je ne comprends pas comment m'inscrire aux cours en ligne.","neutre"
"Pourriez-vous m'aider à retrouver mon mot de passe ENT ?","neutre"
"Merci, c'est très clair maintenant.","satisfaction"
"Merci pour votre réactivité, ça m'a beaucoup aidé.","satisfaction"
"Super service, je suis vraiment satisfait.","satisfaction"
"Franchement je suis très mécontent de la façon dont ça a été géré.","frustration"
"C'est la troisième fois que je vous demande, c'est agaçant.","frustration"
"Je suis vraiment en colère, personne ne me répond.","frustration"
"Je dois absolument parler à la scolarité avant ce soir, c'est très urgent.","urgent"
"J'ai besoin de mon certificat de scolarité tout de suite, c'est urgent.","urgent"
"Mes examens sont demain et je n'ai toujours pas mon emploi du temps, aidez-moi vite !","urgent"
"Bonsoir, pouvez-vous m'expliquer la procédure pour une césure ?","neutre"
"Je suis un peu perdu avec les démarches administratives.","neutre"
"Merci encore, vous êtes au top.","satisfaction"
"Je ne trouve pas où télécharger mes supports de cours, pouvez-vous m'aider ?","neutre"
"Je suis un peu déçu, mais ce n'est pas très grave.","neutre"
"Je ne suis pas satisfait du tout de la réponse que j'ai reçue.","frustration"
"Je commence à perdre patience, ça fait longtemps que j'attends.","frustration"
"Ce n'est pas normal de devoir relancer autant de fois.","frustration"
"Est-ce urgent de faire la demande de bourse maintenant ?","neutre"
"Est-ce vraiment urgent de rendre ce document aujourd'hui ?","neutre"
"Est-ce que la demande de césure est considérée comme urgente ?","neutre"
"Pouvez-vous me répondre rapidement s'il vous plaît ?","neutre"
"J'aimerais une réponse dès que possible, merci.","neutre"
"Je suis très content, merci pour votre aide !","satisfaction"
"Franchement top, je suis super satisfait du service.","satisfaction"
"Merci beaucoup, vous m'avez vraiment dépanné.","satisfaction"
"Je suis extrêmement stressé par la situation, j'ai besoin d'aide tout de suite.","urgent"
"Je dois impérativement parler à quelqu'un avant la fin de la journée, c'est vraiment urgent.","urgent"
"Ma situation est critique, il me faut une réponse immédiatement.","urgent"
"Je trouve cette situation totalement inadmissible.","frustration"
"C'est scandaleux de devoir attendre aussi longtemps.","frustration"
"Je suis très mécontent du service que j'ai reçu.","frustration"
"Je suis énervé, personne ne prend ma demande au sérieux.","frustration"
"Je suis vraiment frustré de ne pas avoir de réponse.","frustration"
"C'est extrêmement urgent, je ne peux pas attendre.","urgent"
"Merci de traiter ma demande en priorité, c'est très urgent.","urgent"
"Je suis dans une situation d'urgence, aidez-moi vite.","urgent"
"Je dois avoir une réponse immédiatement, c'est crucial.","urgent"
"Je n'ai plus de temps, c'est maintenant ou jamais.","urgent"
"Je suis globalement satisfait des services de l'école.","satisfaction"
"Je recommande vivement ce service, c'est très utile.","satisfaction"
"Merci, vous avez vraiment pris le temps de m'expliquer.","satisfaction"
"Je suis très heureux de la qualité de l'accompagnement.","satisfaction"
"Je suis impressionné par votre réactivité, merci beaucoup.","satisfaction"
"Je ne suis pas du tout satisfait de la manière dont mon dossier a été traité.","frustration"
"Je trouve ça très décevant, je m'attendais à mieux.","frustration"
"Je suis fatigué de devoir répéter ma demande encore et encore.","frustration"
"Je suis exaspéré, rien n'avance malgré mes relances.","frustration"
"Je suis vraiment en détresse, personne ne semble m'écouter.","frustration"
"Je dois avoir une réponse aujourd'hui, c'est très important pour moi.","urgent"
"Je risque de perdre mon stage si je n'ai pas de réponse rapidement, c'est urgent.","urgent"
"Ma situation administrative est bloquée, j'ai besoin d'une solution immédiate.","urgent"
"Je n'ai plus aucune marge de manoeuvre, c'est une urgence totale.","urgent"
"Chaque minute compte, merci de traiter ma demande en urgence.","urgent"
"Je ne sais pas trop comment faire, pouvez-vous m'aider tranquillement ?","neutre"
"Je suis un peu inquiet, mais ce n'est pas encore urgent.","neutre"
"Je voudrais simplement quelques précisions supplémentaires.","neutre"
"Je préfère vérifier avant de faire une erreur.","neutre"
"Je me pose des questions sur la procédure, mais j'ai encore du temps.","neutre"
"Je suis très déçu par la gestion de mon dossier, ce n'est pas acceptable.","frustration"
"Je trouve votre réponse totalement insuffisante et très frustrante.","frustration"
"Je suis choqué par le manque de considération pour ma situation.","frustration"
"Je n'en peux plus de répéter la même chose sans résultat.","frustration"
"C'est vraiment décourageant de devoir se battre pour obtenir une simple réponse.","frustration"
"Je me sens abandonné, personne ne prend ma demande au sérieux.","frustration"
"Je considère que cette situation est inacceptable et très frustrante.","frustration"
"Je suis lassé de ces retards, ce n'est plus possible.","frustration"
"Je suis profondément mécontent de la manière dont cela a été traité.","frustration"
"Je trouve votre suivi très décevant, je suis vraiment contrarié.","frustration"
"Je trouve inadmissible d'avoir perdu mon stage à cause de ce retard.","frustration"
"Je suis très mécontent, ce retard m'a fait perdre mon stage.","frustration"
"Je suis furieux, à cause de votre retard j'ai perdu mon stage.","frustration"
"Je suis en colère, ce retard m'a coûté mon stage.","frustration"
"C'est vraiment frustrant d'avoir perdu mon stage à cause de ce retard.","frustration"
"Je ne comprends pas comment un tel retard a pu me faire perdre mon stage.","frustration"
"Je trouve inacceptable d'avoir perdu une opportunité de stage pour cette raison.","frustration"
"Je suis extrêmement déçu, ce retard m'a fait rater mon stage.","frustration"
"C'est injuste d'avoir perdu mon stage à cause d'un problème administratif.","frustration"
"Je suis très contrarié, ce retard a complètement compromis mon stage.","frustration"
"C'est inadmissible de perdre mon stage pour un simple retard.","frustration"
"À cause de ce retard, j'ai perdu mon stage, c'est inadmissible.","frustration"
"Je trouve inadmissible d'avoir perdu mon stage à cause de votre retard.","frustration"
"Je suis furieux, ce retard m'a fait perdre mon stage.","frustration"
"Je suis très frustré, ce retard m'a coûté mon stage.","frustration"
"Perdre mon stage à cause de ce retard est totalement inadmissible.","frustration"
"Je suis extrêmement mécontent, votre retard m'a fait perdre mon stage.","frustration"
"Je suis en colère, mon stage est perdu à cause de votre retard.","frustration"
"Je trouve scandaleux d'avoir perdu mon stage à cause d'un retard.","frustration"
"Ce retard qui m'a fait perdre mon stage est inacceptable.","frustration"
