text,intent
Puis-je obtenir une bourse de mobilité internationale ?,faq
"Bonjour, comment obtenir une attestation fiscale ?",faq
Comment faire une demande d'exeat ?,faq
"Bonjour, puis-je amener mon animal de compagnie sur le campus ?",faq
"Bonjour, comment préparer mon projet professionnel ?",faq
Email de Bibliothèque - Médiathèque,contact
"Bonjour, puis-je travailler en parallèle de mes études ?",faq
"Bonjour, combien d'absences sont tolérées ?",faq
Je ne sais pas comment signalement de harcèlement ou discrimination,procedure
Email de Urgence Campus ESIC,contact
"Bonjour, quels sont les jours fériés pendant l'année ?",faq
Comment je peux obtenir mon calendrier personnalisé ?,faq
"Bonjour, puis-je assister à un cours d'une autre promotion ?",faq
"Bonjour, y a-t-il une aide pour trouver un logement ?",faq
Comment faire : Obtention du Diplôme Final ?,procedure
Quelles étapes pour Signalement d'un Incident Technique (IT) ?,procedure
Je veux faire une demande : Demande de Convention de Stage,procedure
Quand commencent les vacances ?,calendar
Comment fonctionne la représentation étudiante ?,faq
Je veux faire une demande : Emprunt de Livres à la Bibliothèque,procedure
"Bonjour, comment suspendre provisoirement mes études ?",faq
"Bonjour, mon emploi du temps a changé, comment suis-je informé ?",faq
Procédure pour Obtention d'un Certificat de Scolarité,procedure
Combien d'absences sont tolérées ?,faq
Horaires de Police,contact
Comment accéder au WiFi sur le campus ?,faq
Y a-t-il des cours en ligne ou en distanciel ?,faq
Je veux joindre Urgence Campus ESIC,contact
"Bonjour, y a-t-il des casiers disponibles pour les étudiants ?",faq
"Bonjour, y a-t-il un parking sur le campus ?",faq
Je veux joindre Numéro d'urgence européen,contact
Comment contacter Sécurité Campus ?,contact
Je veux faire une demande : Inscription à un Programme de Mobilité Internationale,procedure
Où se trouve Restaurant Universitaire ?,contact
Où se trouve Pompiers ?,contact
Procédure pour Demande de Prêt de Matériel Informatique,procedure
Quels sont les débouchés professionnels après le diplôme ?,faq
"Bonjour, qui dois-je contacter si j'ai un problème avec mon emploi du temps ?",faq
Procédure pour Signalement de Harcèlement ou Discrimination,procedure
"Bonjour, quels sont les débouchés professionnels après le diplôme ?",faq
Je ne sais pas comment demande de contrat d'alternance,procedure
Quels sont les projets proposés pendant la formation ?,faq
Horaires de Admissions,contact
Procédure pour Demande de Césure,procedure
"Bonjour, comment accéder aux ressources numériques de la bibliothèque ?",faq
Où se trouve Bibliothèque - Médiathèque ?,contact
Comment puis-je obtenir mon calendrier personnalisé ?,faq
Où se trouve Psychologie ?,contact
"Bonjour, quels sont les horaires de la bibliothèque ?",faq
Puis-je faire un double diplôme à l'étranger ?,faq
"Bonjour, quand a lieu le forum des entreprises ?",faq
Je veux joindre Service Social,contact
Horaires de Bibliothèque - Médiathèque,contact
Procédure pour Inscription à une Certification Professionnelle,procedure
"Bonjour, comment obtenir mon code INE/BEA ?",faq
Je ne sais pas comment emprunt de livres à la bibliothèque,procedure
Je peux poursuivre en doctorat après le Master ?,faq
"Bonjour, quelles sont les spécialisations disponibles en Bachelor 3 ?",faq
"Bonjour, quels sont les projets proposés pendant la formation ?",faq
Je ne sais pas comment contestation d'une note,procedure
Comment faire : Demande de Contrat d'Alternance ?,procedure
Puis-je me réorienter après la première année ?,faq
"Bonjour, quand commence le semestre 2 ?",faq
Je veux faire une demande : Inscription à une Certification Professionnelle,procedure
"Bonjour, comment accéder au réseau des Alumni ?",faq
Puis-je accéder au campus le week-end ?,faq
Quelles étapes pour Emprunt de Livres à la Bibliothèque ?,procedure
"Bonjour, comment obtenir mon diplôme après la validation ?",faq
Comment faire : Emprunt de Livres à la Bibliothèque ?,procedure
Comment contacter Service Social ?,contact
"Bonjour, comment obtenir une convention de stage ?",faq
"Bonjour, y a-t-il un service de photocopies ?",faq
Je veux faire une demande : Signalement d'un Incident Technique (IT),procedure
Comment puis-je voir les notes de mes camarades ?,faq
Comment contacter Admissions ?,contact
"Bonjour, comment modifier mes informations personnelles ?",faq
Email de Bureau de la Vie Étudiante (BVE),contact
"Bonjour, comment protège-t-on mes données personnelles (RGPD) ?",faq
Je ne sais pas comment demande de validation des acquis de l'expérience (vae),procedure
Comment payer mes frais de scolarité ?,faq
Puis-je porter ce que je veux sur le campus ?,faq
Comment faire : Inscription à un Programme de Mobilité Internationale ?,procedure
Email de Fil Santé Jeunes,contact
Horaires de Service des Sports,contact
Je peux faire un double diplôme à l'étranger ?,faq
"Bonjour, comment faire une demande de césure ?",faq
Horaires de SAMU,contact
Procédure pour Inscription à un Examen de Rattrapage,procedure
"Bonjour, comment payer mes frais de scolarité ?",faq
Email de Sécurité Campus,contact
Où se trouve Bureau de la Vie Étudiante (BVE) ?,contact
"Bonjour, comment se déroule un semestre d'échange à l'étranger ?",faq
"Bonjour, y a-t-il un service de navette entre les campus ?",faq
"Bonjour, comment obtenir mon relevé de notes ?",faq
Horaires de Service Carrières et Relations Entreprises,contact
Email de SOS Amitié,contact
Comment obtenir une carte IZLY pour le restaurant universitaire ?,faq
Je peux travailler en parallèle de mes études ?,faq
"Bonjour, quand a lieu la journée d'intégration ?",faq
